:START_ID(Region),:END_ID(Region),weight:float,total:float,neuron_count:int,source_acronym,target_acronym,:TYPE
993.0,993,27293.49969881808,111630413.76816595,4090,MOs,MOs,PROJECT_TO
993.0,672,34874.31197973442,132452636.89903131,3798,MOs,CP,PROJECT_TO
993.0,1022,1486.066635779598,2226127.820397838,1498,MOs,GPe,PROJECT_TO
993.0,629,4416.1496384606135,4742944.711706699,1074,MOs,VAL,PROJECT_TO
993.0,685,5000.083837245943,5640094.568413423,1128,MOs,VM,PROJECT_TO
993.0,741,1584.0674462249392,662140.1925220246,418,MOs,VPMpc,PROJECT_TO
993.0,414,423.8624871622311,74599.79774055268,176,MOs,SPFm,PROJECT_TO
993.0,609,599.1474815697895,123424.38120337664,206,MOs,SPA,PROJECT_TO
993.0,1020,3012.547527368578,2410038.0218948624,800,MOs,PO,PROJECT_TO
993.0,362,7391.866442979361,7081408.052374228,958,MOs,MD,PROJECT_TO
993.0,907,2365.754870400929,2209615.0489544678,934,MOs,PCN,PROJECT_TO
993.0,930,1922.7663053325039,1815091.3922338837,944,MOs,PF,PROJECT_TO
993.0,262,1787.3236914110325,2137639.134927595,1196,MOs,RT,PROJECT_TO
993.0,1009,6851.551936879179,27200661.18941034,3970,MOs,fiber tracts,PROJECT_TO
993.0,39,5116.888229113342,11809778.032793595,2308,MOs,ACAd,PROJECT_TO
993.0,463,277.8463042194333,17226.470861604867,62,MOs,CA3,PROJECT_TO
993.0,726,355.69993241348305,17073.596755847186,48,MOs,DG,PROJECT_TO
993.0,1031,808.1538863652203,512369.5639555497,634,MOs,GPi,PROJECT_TO
993.0,342,1196.1310227599108,971258.3904810476,812,MOs,SI,PROJECT_TO
993.0,366,1832.2285673418414,1465782.8538734731,800,MOs,SMT,PROJECT_TO
993.0,1077,429.76987898146234,118616.48659888361,276,MOs,PR,PROJECT_TO
993.0,181,1164.8261631065411,410018.80941350246,352,MOs,RE,PROJECT_TO
993.0,194,1234.7533757577853,521065.92456978536,422,MOs,LHA,PROJECT_TO
993.0,470,977.3216645140079,437840.1057022755,448,MOs,STN,PROJECT_TO
993.0,797,2466.4686214938224,2101431.2655127365,852,MOs,ZI,PROJECT_TO
993.0,381,1891.672381239933,1040419.8096819632,550,MOs,SNr,PROJECT_TO
993.0,749,1036.3784028961406,373096.22504261066,360,MOs,VTA,PROJECT_TO
993.0,128,9651.139535439459,6987425.0236581685,724,MOs,MRN,PROJECT_TO
993.0,374,652.0897000157554,267356.7770064597,410,MOs,SNc,PROJECT_TO
993.0,1052,1613.4046709441134,461433.7358900164,286,MOs,PPN,PROJECT_TO
993.0,591,465.8117749595028,23290.58874797514,50,MOs,CLI,PROJECT_TO
993.0,867,2153.5905271187353,611619.7097017209,284,MOs,PB,PROJECT_TO
993.0,898,1143.5443543822603,210412.1612063359,184,MOs,PCG,PROJECT_TO
993.0,931,5690.727810116083,2913652.6387794344,512,MOs,PG,PROJECT_TO
993.0,1093,3164.6113669474157,1246856.8785772817,394,MOs,PRNc,PROJECT_TO
993.0,574,1807.8644293772275,987093.9784399662,546,MOs,TRN,PROJECT_TO
993.0,679,2033.076682384605,455409.17685415153,224,MOs,CS,PROJECT_TO
993.0,162,859.8997218209541,142743.35382227838,166,MOs,LDT,PROJECT_TO
993.0,146,3551.661546953438,1576937.7268473266,444,MOs,PRNr,PROJECT_TO
993.0,350,275.337122822138,23678.99256270387,86,MOs,SLC,PROJECT_TO
993.0,653,224.96438425888437,7198.8602962843,32,MOs,VI,PROJECT_TO
993.0,1048,2892.828558878514,960419.0815476666,332,MOs,GRN,PROJECT_TO
993.0,169,320.62763653047983,12825.105461219193,40,MOs,PRP,PROJECT_TO
993.0,202,1234.3727418177155,246874.5483635431,200,MOs,MV,PROJECT_TO
39.0,993,8864.06017162632,22851547.122452654,2578,ACAd,MOs,PROJECT_TO
39.0,39,16239.36373458311,51283910.67381346,3158,ACAd,ACAd,PROJECT_TO
39.0,48,4525.544087775853,10508313.37181553,2322,ACAd,ACAv,PROJECT_TO
39.0,886,5211.527924257443,3637646.4911316955,698,ACAd,RSPv,PROJECT_TO
39.0,672,30755.37538743844,91589507.90379167,2978,ACAd,CP,PROJECT_TO
39.0,629,1565.325337625786,1311742.6329304087,838,ACAd,VAL,PROJECT_TO
39.0,685,3385.2486866026097,3168592.7706600428,936,ACAd,VM,PROJECT_TO
39.0,733,343.03510742590856,30187.089453479955,88,ACAd,VPM,PROJECT_TO
39.0,1020,1687.9499770854634,573902.9922090576,340,ACAd,PO,PROJECT_TO
39.0,255,2193.3353664970914,1851175.0493235453,844,ACAd,AV,PROJECT_TO
39.0,127,4395.211278129475,4280935.784898109,974,ACAd,AM,PROJECT_TO
39.0,1113,1734.3211865128299,1373582.3797181612,792,ACAd,IAD,PROJECT_TO
39.0,362,7643.150706726465,7046984.9516018005,922,ACAd,MD,PROJECT_TO
39.0,366,1061.765195672889,558488.4929239396,526,ACAd,SMT,PROJECT_TO
39.0,181,2313.3095086697617,1568423.8468780986,678,ACAd,RE,PROJECT_TO
39.0,189,446.936531515523,178774.61260620918,400,ACAd,RH,PROJECT_TO
39.0,907,565.7907015987183,255737.39712262066,452,ACAd,PCN,PROJECT_TO
39.0,575,2148.010466700038,1825808.8966950323,850,ACAd,CL,PROJECT_TO
39.0,930,1554.983147387588,1209776.8886675434,778,ACAd,PF,PROJECT_TO
39.0,262,2431.1938513618493,2615964.58406535,1076,ACAd,RT,PROJECT_TO
39.0,1009,6247.86894303028,19518342.578026596,3124,ACAd,fiber tracts,PROJECT_TO
